#  n     IJK     IKJ     JIK     JKI     KIJ     KJI
#--- ------- ------- ------- ------- ------- -------
  16   0.879   0.610   0.690   0.293   0.586   0.244
  17   0.870   0.636   0.712   0.224   0.402   0.214
  18   0.583   0.394   0.442   0.206   0.394   0.206
  19   0.587   0.390   0.434   0.208   0.394   0.204
  20   0.681   0.394   0.428   0.187   0.431   0.150
  21   0.537   0.378   0.432   0.184   0.383   0.151
  22   0.547   0.376   0.427   0.225   0.373   0.169
  23   0.530   0.366   0.427   0.195   0.370   0.181
  24   0.526   0.363   0.427   0.175   0.400   0.134
  25   0.557   0.365   0.461   0.173   0.365   0.141
  26   0.522   0.358   0.452   0.162   0.364   0.154
  27   0.517   0.395   0.442   0.170   0.362   0.168
  28   0.563   0.355   0.452   0.163   0.360   0.132
  29   0.516   0.353   0.456   0.156   0.358   0.131
  30   0.538   0.352   0.463   0.144   0.359   0.148
  31   0.516   0.351   0.465   0.171   0.358   0.159
  32   0.520   0.349   0.468   0.153   0.354   0.130
  33   0.538   0.552   0.466   0.146   0.356   0.134
  34   0.539   0.347   0.468   0.141   0.354   0.138
  35   0.522   0.346   0.469   0.140   0.360   0.147
  36   0.618   0.346   0.472   0.140   0.352   0.128
  37   0.547   0.345   0.474   0.133   0.351   0.124
  38   0.543   0.344   0.472   0.126   0.354   0.128
  39   0.528   0.343   0.472   0.130   0.348   0.138
  40   0.547   0.343   0.475   0.130   0.346   0.128
  41   0.534   0.351   0.475   0.127   0.346   0.118
  42   0.532   0.341   0.476   0.132   0.345   0.121
  43   0.546   0.341   0.477   0.131   0.345   0.129
  44   0.532   0.346   0.480   0.127   0.344   0.126
  45   0.533   0.340   0.477   0.119   0.346   0.124
  46   0.550   0.342   0.480   0.116   0.344   0.117
  47   0.542   0.339   0.478   0.132   0.341   0.139
  48   0.537   0.339   0.481   0.127   0.342   0.127
  49   0.551   0.346   0.480   0.121   0.375   0.141
  50   0.536   0.373   0.482   0.118   0.384   0.121
  51   0.539   0.339   0.482   0.123   0.360   0.127
  52   0.541   0.338   0.481   0.127   0.371   0.127
  53   0.545   0.338   0.484   0.120   0.361   0.125
  54   0.552   0.337   0.483   0.111   0.340   0.126
  55   0.544   0.337   0.484   0.123   0.340   0.131
  56   0.547   0.337   0.485   0.127   0.339   0.129
  57   0.551   0.429   0.495   0.122   0.467   0.130
  58   0.544   0.411   0.491   0.115   0.339   0.125
  59   0.547   0.336   0.486   0.125   0.340   0.134
  60   0.643   0.336   0.487   0.128   0.340   0.148
  61   0.588   0.336   0.489   0.121   0.338   0.132
  62   0.552   0.336   0.488   0.115   0.338   0.134
  63   0.549   0.338   0.523   0.128   0.338   0.154
  64   0.713   0.651   0.539   0.128   0.590   0.131
  65   0.550   0.336   0.491   0.124   0.399   0.155
  66   0.551   0.336   0.491   0.115   0.340   0.138
  67   0.560   0.337   0.493   0.127   0.336   0.158
  68   0.553   0.342   0.494   0.130   0.358   0.161
  69   0.556   0.479   0.494   0.123   0.335   0.147
  70   0.555   0.406   0.508   0.115   0.340   0.143
  71   0.578   0.337   0.495   0.130   0.336   0.157
  72   0.619   0.343   0.496   0.130   0.363   0.153
  73   0.568   0.470   0.524   0.121   0.477   0.146
  74   0.553   0.340   0.538   0.117   0.335   0.142
  75   0.557   0.354   0.526   0.126   0.335   0.153
  76   0.555   0.336   0.501   0.130   0.482   0.152
  77   0.559   0.336   0.510   0.122   0.388   0.147
  78   0.558   0.334   0.510   0.115   0.335   0.141
  79   0.556   0.336   0.523   0.130   0.343   0.149
  80   0.558   0.449   0.510   0.130   0.378   0.155
  81   0.560   0.393   0.531   0.122   0.382   0.148
  82   0.605   0.393   0.520   0.116   0.337   0.140
  83   0.595   0.356   0.523   0.124   0.336   0.151
  84   0.608   0.361   0.520   0.130   0.360   0.155
  85   0.565   0.636   0.574   0.121   0.341   0.143
  86   0.563   0.538   0.526   0.113   0.342   0.138
  87   0.562   0.363   0.537   0.126   0.391   0.151
  88   0.561   0.359   0.541   0.131   0.418   0.151
  89   0.564   0.339   0.553   0.121   0.337   0.146
  90   0.585   0.337   0.534   0.113   0.346   0.136
  91   0.575   0.337   0.582   0.124   0.334   0.153
  92   0.576   0.379   0.585   0.140   0.363   0.152
  93   0.619   0.458   0.629   0.121   0.468   0.145
  94   0.608   0.379   0.592   0.113   0.387   0.136
  95   0.625   0.385   0.588   0.126   0.380   0.147
  96   0.631   0.550   0.584   0.130   0.576   0.163
  97   0.648   0.378   0.602   0.122   0.382   0.144
  98   0.647   0.381   0.596   0.113   0.392   0.136
  99   0.655   0.393   0.678   0.124   0.376   0.147
 100   0.688   0.381   0.596   0.132   0.406   0.149
 101   0.651   0.380   0.594   0.123   0.375   0.144
 102   0.654   0.385   0.596   0.114   0.391   0.137
 103   0.662   0.384   0.596   0.125   0.382   0.145
 104   0.657   0.386   0.596   0.137   0.420   0.150
 105   0.653   0.384   0.593   0.122   0.374   0.147
 106   0.613   0.376   0.594   0.116   0.379   0.134
 107   0.612   0.375   0.597   0.130   0.386   0.148
 108   0.610   0.375   0.604   0.134   0.406   0.153
 109   0.620   0.372   0.599   0.125   0.371   0.142
 110   0.644   0.377   0.603   0.116   0.373   0.134
 111   0.621   0.376   0.597   0.125   0.384   0.144
 112   0.621   0.386   0.597   0.133   0.413   0.150
 113   0.620   0.375   0.605   0.124   0.373   0.142
 114   0.620   0.389   0.606   0.114   0.419   0.134
 115   0.618   0.372   0.608   0.125   0.370   0.145
 116   0.623   0.369   0.609   0.134   0.396   0.149
 117   0.622   0.375   0.606   0.124   0.370   0.141
 118   0.627   0.380   0.610   0.113   0.388   0.133
 119   0.631   0.372   0.608   0.125   0.383   0.143
